pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
172.99205106391724,1.2399416877595555,141.60671507158668,2.820394979686676,221.79315753020794,14.145850940558626,2240.904674182481,-0.0,1053.5547167305563,135.46083715140125
172.25210278007967,1.2813142131966102,144.78066173312203,2.787807610734683,207.31835958204852,14.860709309265205,2096.5282176763617,-0.0,973.137383324934,139.10575998568578
170.98154465479342,1.3241407796441798,147.76733922745453,2.756063390549338,193.8919613905839,15.600691437612475,1927.2448906078914,-0.0,879.7188060990735,142.4090787538641
169.42724493524224,1.3683405787068192,150.51164369676107,2.7251558213486446,181.65972899171223,16.364401071513093,1739.6827866473209,-0.0,793.6816029997842,145.32659250172807
167.82512702721613,1.4138193958433654,152.9436645541221,2.6950776596796286,170.7138280428481,17.1502103177579,1543.059945593509,-0.0,721.0119153151777,147.88861875213576
166.37099616902202,1.460471172773815,155.02198346635,2.6658210048031377,161.08082463908406,17.956286640183595,1347.5318298383613,-0.0,655.8711367485746,150.14031177367855
165.20029317863793,1.5081800126418492,156.75436549509797,2.637377415169266,152.72127681416572,18.780627506027876,1162.475130644262,-0.0,589.7354344004285,152.11017472646728
164.37983083353222,1.556822656159183,158.18909984595243,2.609737966412032,145.53948092810026,19.621103170180426,995.2471843782165,-0.0,519.4246067055484,153.8023298135571
163.9108154703118,1.6062714730117005,159.3892678968713,2.5828932459168272,139.39944956539196,20.47550836242429,850.5572360226441,-0.0,449.2455371144829,155.2038649799928
163.74067252134188,1.6563979654010217,160.4084947637577,2.556833340167909,134.14327877340043,21.341622823648823,730.1701453863137,-0.0,387.4318382464654,156.3160759663309
163.78332756153193,1.707076710824346,161.27965270072784,2.5315478711705475,129.61117003462806,22.217279431475003,632.9201985469064,-0.0,340.55949886198533,157.1856558096619
163.9438218291832,1.7581895046320208,162.01767128444658,2.507026095005865,125.65994810860724,23.100435777755592,555.1433032630949,-0.0,309.8066915432435,157.87675958237645
164.14112883787726,1.8096292873821487,162.6297850359643,2.4832570464007073,122.17641224157522,23.989242027674354,491.7468945566158,-0.0,290.89645872427604,158.45186223077195
164.32205412129974,1.861303199773551,163.1250588326759,2.460229678037715,119.08202644935622,24.88209370464064,437.62911943769717,-0.0,276.99232846706815,158.95279803018872
164.4631723027629,1.91313406191317,163.5179958309679,2.437932953628912,116.32887954340582,25.777657249925177,388.88074712847555,-0.0,262.32486149303617,159.39411093368471
164.56236719696946,1.9650598193730286,163.82617392951414,2.4163558813549564,113.88966443689682,26.674860451312597,343.20682218285117,-0.0,244.43340016457898,159.77005280153017
164.62687770047623,2.0170311031161883,164.06496852954632,2.395487502976972,111.74714761782296,27.572850282094045,299.8424041872419,-0.0,224.19301775493432,160.06844495420236
164.6625511251343,2.0690077152729094,164.24375906606406,2.3753168684865136,109.88601269413493,28.470932180279785,258.85658085364753,-0.0,204.1735431091604,160.2826939464022
164.6691464122983,2.120955174615439,164.36542293444677,2.355833022226972,108.28962134280924,29.368510359319167,220.444452087693,-0.0,186.6406409924383,160.41657141392295
164.64156930807889,2.172842213080398,164.42876878908888,2.3370250108659736,106.94085718194707,30.26504455156974,184.52122652530053,-0.0,172.32911420392227,160.4815329340035
164.57382631157597,2.224639507068243,164.4320524233591,2.318881907598437,105.82456481949309,31.160028086957283,150.611493966098,-0.0,160.40266762985684,160.4902811994086
164.46254776152296,2.276319351340681,164.375465138012,2.3013928388794307,104.92953329861218,32.05298225838711,118.03906032221833,-0.0,149.27947187465304,160.45116301061512
164.30806998255045,2.327855698562687,164.26160587950864,2.284547001727204,104.2488877088003,32.94345700497395,86.22213455192451,-0.0,137.6329914481282,160.36621316062914
164.11304801143646,2.3792241296207677,164.0942840781144,2.2683336674158965,103.77900806941193,33.8310303991837,54.79260289060755,-0.0,124.97772596472548,160.23289707381204
163.88775034344354,2.4304018533630574,163.87479206033456,2.2527421752834744,103.52278093405882,34.71530864234269,45.53378193646784,-0.0,111.59909031905833,160.04758349797086
163.11073568576023,2.4813675625854668,163.59752809210758,2.237761923979683,103.49881065415276,35.59592357628323,-0.0,-0.0,97.29762913548662,159.80745292996977
160.9229377028976,2.532099788660842,163.34688943105988,2.2233823640390282,103.49881065415276,36.472504253676796,-0.0,-0.0,86.41009292818129,159.51210626508896
157.3288648943501,2.5825705855997607,163.11450682093334,2.2095930006193116,103.49881065415276,37.344567807591794,-0.0,-0.0,84.32973468111608,159.18275451966514
152.39848720389944,2.632753138133258,162.87658453172244,2.196383438050482,103.49881065415276,38.21165090833716,-0.0,-0.0,89.75275703956869,158.8547268258138
146.22778995744216,2.6826423604419634,162.61952148519268,2.183743452001183,103.49881065415276,39.07366568019103,-0.0,-0.0,97.25454519216815,158.55310429248624
138.93690520639416,2.7322374663941615,162.34520794074848,2.1716630400923975,103.49881065415276,39.93059853991597,-0.0,-0.0,101.67387381840082,158.28058975186062
130.6677729790535,2.7815344327098677,162.06559735960656,2.1601324251317195,103.49881065415276,40.782379970958765,-0.0,-0.0,101.12329278811922,158.02210079991357
121.58137797102643,2.8305377950443367,161.7927724170242,2.149142020555159,103.49881065415276,41.62908834298822,-0.0,-0.0,97.20843170180675,157.75871348038623
111.85461547123958,2.8792488155385483,161.53168993136637,2.138682387604099,103.49881065415276,42.47074546400451,-0.0,-0.0,93.09958170451758,157.48003247782228
